protocol, transport, type, dst_port, src_ip, src_port, timestamp
smbd, tcp, accept, 445, 62.74.213.178, 4168, 2022-05-07T15:10:03.582418,
smbd, tcp, accept, 445, 62.74.213.178, 4188, 2022-05-07T15:10:04.230763,
smbd, tcp, accept, 445, 62.74.213.178, 4209, 2022-05-07T15:10:04.966219,
smbd, tcp, accept, 445, 62.74.213.178, 4239, 2022-05-07T15:10:05.720627,
smbd, tcp, accept, 445, 62.74.213.178, 4299, 2022-05-07T15:10:07.175041,
smbd, tcp, accept, 445, 62.74.213.178, 4328, 2022-05-07T15:10:07.922676,
smbd, tcp, accept, 445, 62.74.213.178, 4391, 2022-05-07T15:10:08.627664,
smbd, tcp, accept, 445, 62.74.213.178, 4425, 2022-05-07T15:10:09.356693,
smbd, tcp, accept, 445, 62.74.213.178, 4513, 2022-05-07T15:10:10.876132,
smbd, tcp, accept, 445, 62.74.213.178, 4545, 2022-05-07T15:10:11.522454,
smbd, tcp, accept, 445, 62.74.213.178, 4571, 2022-05-07T15:10:12.257001,
smbd, tcp, accept, 445, 62.74.213.178, 4597, 2022-05-07T15:10:12.863675,
smbd, tcp, accept, 445, 62.74.213.178, 4699, 2022-05-07T15:10:14.395406,
smbd, tcp, accept, 445, 62.74.213.178, 4728, 2022-05-07T15:10:15.183390,
smbd, tcp, accept, 445, 62.74.213.178, 4763, 2022-05-07T15:10:15.875431,
smbd, tcp, accept, 445, 62.74.213.178, 4796, 2022-05-07T15:10:16.554109,
smbd, tcp, accept, 445, 62.74.213.178, 4972, 2022-05-07T15:10:18.158099,
smbd, tcp, accept, 445, 62.74.213.178, 1044, 2022-05-07T15:10:18.754426,
smbd, tcp, accept, 445, 62.74.213.178, 1066, 2022-05-07T15:10:19.439444,
smbd, tcp, accept, 445, 62.74.213.178, 1094, 2022-05-07T15:10:20.173730,
smbd, tcp, accept, 445, 62.74.213.178, 1146, 2022-05-07T15:10:21.506240,
smbd, tcp, accept, 445, 62.74.213.178, 1171, 2022-05-07T15:10:22.210838,
smbd, tcp, accept, 445, 62.74.213.178, 1190, 2022-05-07T15:10:22.946253,
smbd, tcp, accept, 445, 62.74.213.178, 1212, 2022-05-07T15:10:23.557111,
smbd, tcp, accept, 445, 62.74.213.178, 1254, 2022-05-07T15:10:24.904759,
smbd, tcp, accept, 445, 62.74.213.178, 1277, 2022-05-07T15:10:25.597663,
smbd, tcp, accept, 445, 62.74.213.178, 1299, 2022-05-07T15:10:26.339763,
smbd, tcp, accept, 445, 62.74.213.178, 1325, 2022-05-07T15:10:27.163205,
smbd, tcp, accept, 445, 62.74.213.178, 1373, 2022-05-07T15:10:28.688450,
smbd, tcp, accept, 445, 62.74.213.178, 1404, 2022-05-07T15:10:29.549667,
smbd, tcp, accept, 445, 62.74.213.178, 1437, 2022-05-07T15:10:30.352750,
smbd, tcp, accept, 445, 62.74.213.178, 1495, 2022-05-07T15:10:31.883378,
smbd, tcp, accept, 445, 62.74.213.178, 1518, 2022-05-07T15:10:32.532961,
smbd, tcp, accept, 445, 62.74.213.178, 1543, 2022-05-07T15:10:33.224156,
smbd, tcp, accept, 445, 62.74.213.178, 1567, 2022-05-07T15:10:33.922810,
smbd, tcp, accept, 445, 62.74.213.178, 1615, 2022-05-07T15:10:35.296318,
smbd, tcp, accept, 445, 62.74.213.178, 1638, 2022-05-07T15:10:36.114290,
smbd, tcp, accept, 445, 62.74.213.178, 1665, 2022-05-07T15:10:36.859748,
smbd, tcp, accept, 445, 62.74.213.178, 1698, 2022-05-07T15:10:37.637482,
smbd, tcp, accept, 445, 62.74.213.178, 4121, 2022-05-07T15:10:02.212754,
smbd, tcp, accept, 445, 62.74.213.178, 4270, 2022-05-07T15:10:06.513153,
smbd, tcp, accept, 445, 62.74.213.178, 4456, 2022-05-07T15:10:09.994985,
smbd, tcp, accept, 445, 62.74.213.178, 4628, 2022-05-07T15:10:13.527982,
smbd, tcp, accept, 445, 62.74.213.178, 4885, 2022-05-07T15:10:17.348270,
smbd, tcp, accept, 445, 62.74.213.178, 1237, 2022-05-07T15:10:24.228062,
smbd, tcp, accept, 445, 62.74.213.178, 1355, 2022-05-07T15:10:27.925104,
smbd, tcp, accept, 445, 62.74.213.178, 1468, 2022-05-07T15:10:31.202036,
smbd, tcp, accept, 445, 62.74.213.178, 1750, 2022-05-07T15:10:39.173767,
smbd, tcp, accept, 445, 62.74.213.178, 1837, 2022-05-07T15:10:41.125600,
smbd, tcp, accept, 445, 62.74.213.178, 1807, 2022-05-07T15:10:40.469880,
smbd, tcp, accept, 445, 62.74.213.178, 1777, 2022-05-07T15:10:39.863447,
smbd, tcp, accept, 445, 62.74.213.178, 1120, 2022-05-07T15:10:20.813856,
smbd, tcp, accept, 445, 62.74.213.178, 1589, 2022-05-07T15:10:34.594236,
smbd, tcp, accept, 445, 62.74.213.178, 1720, 2022-05-07T15:10:38.489277,
smbd, tcp, accept, 445, 62.74.213.178, 1883, 2022-05-07T15:10:42.476463,
smbd, tcp, accept, 445, 62.74.213.178, 1908, 2022-05-07T15:10:43.082505,
smbd, tcp, accept, 445, 62.74.213.178, 1925, 2022-05-07T15:10:43.836404,
smbd, tcp, accept, 445, 62.74.213.178, 1953, 2022-05-07T15:10:44.525623,
smbd, tcp, accept, 445, 62.74.213.178, 1975, 2022-05-07T15:10:45.380219,
smbd, tcp, accept, 445, 62.74.213.178, 2103, 2022-05-07T15:10:48.869490,
smbd, tcp, accept, 445, 62.74.213.178, 2080, 2022-05-07T15:10:48.119704,
smbd, tcp, accept, 445, 62.74.213.178, 2019, 2022-05-07T15:10:46.744186,
smbd, tcp, accept, 445, 62.74.213.178, 2046, 2022-05-07T15:10:47.458985,
smbd, tcp, accept, 445, 62.74.213.178, 2162, 2022-05-07T15:10:50.299088,
smbd, tcp, accept, 445, 62.74.213.178, 2193, 2022-05-07T15:10:51.107755,
smbd, tcp, accept, 445, 62.74.213.178, 2226, 2022-05-07T15:10:51.729302,
smbd, tcp, accept, 445, 62.74.213.178, 2274, 2022-05-07T15:10:53.256774,
smbd, tcp, accept, 445, 62.74.213.178, 2299, 2022-05-07T15:10:53.943003,
smbd, tcp, accept, 445, 62.74.213.178, 2329, 2022-05-07T15:10:54.761965,
smbd, tcp, accept, 445, 62.74.213.178, 2367, 2022-05-07T15:10:55.347647,
smbd, tcp, accept, 445, 62.74.213.178, 2393, 2022-05-07T15:10:56.175333,
smbd, tcp, accept, 445, 62.74.213.178, 2435, 2022-05-07T15:10:57.522161,
smbd, tcp, accept, 445, 62.74.213.178, 2460, 2022-05-07T15:10:58.241898,
smbd, tcp, accept, 445, 62.74.213.178, 2504, 2022-05-07T15:10:59.691149,
smbd, tcp, accept, 445, 62.74.213.178, 2486, 2022-05-07T15:10:58.897202,
smbd, tcp, accept, 445, 62.74.213.178, 2565, 2022-05-07T15:11:01.089249,
smbd, tcp, accept, 445, 62.74.213.178, 2583, 2022-05-07T15:11:01.675450,
smbd, tcp, accept, 445, 62.74.213.178, 2613, 2022-05-07T15:11:02.277014,
smbd, tcp, accept, 445, 62.74.213.178, 2629, 2022-05-07T15:11:02.991603,
smbd, tcp, accept, 445, 62.74.213.178, 2675, 2022-05-07T15:11:04.415004,
smbd, tcp, accept, 445, 62.74.213.178, 2701, 2022-05-07T15:11:05.093739,
smbd, tcp, accept, 445, 62.74.213.178, 2725, 2022-05-07T15:11:05.813814,
smbd, tcp, accept, 445, 62.74.213.178, 2745, 2022-05-07T15:11:06.496796,
smbd, tcp, accept, 445, 62.74.213.178, 2796, 2022-05-07T15:11:07.952565,
smbd, tcp, accept, 445, 62.74.213.178, 2820, 2022-05-07T15:11:08.737083,
smbd, tcp, accept, 445, 62.74.213.178, 2871, 2022-05-07T15:11:10.035256,
smbd, tcp, accept, 445, 62.74.213.178, 2843, 2022-05-07T15:11:09.403249,
smbd, tcp, accept, 445, 62.74.213.178, 2926, 2022-05-07T15:11:11.474092,
smbd, tcp, accept, 445, 62.74.213.178, 2949, 2022-05-07T15:11:12.180940,
smbd, tcp, accept, 445, 62.74.213.178, 2973, 2022-05-07T15:11:12.776854,
smbd, tcp, accept, 445, 62.74.213.178, 2993, 2022-05-07T15:11:13.502045,
smbd, tcp, accept, 445, 62.74.213.178, 3020, 2022-05-07T15:11:14.199252,
smbd, tcp, accept, 445, 62.74.213.178, 2353, 2022-05-07T15:09:18.655916,
smbd, tcp, accept, 445, 62.74.213.178, 3065, 2022-05-07T15:11:15.492858,
smbd, tcp, accept, 445, 62.74.213.178, 3090, 2022-05-07T15:11:16.121089,
smbd, tcp, accept, 445, 62.74.213.178, 3112, 2022-05-07T15:11:16.928290,
smbd, tcp, accept, 445, 62.74.213.178, 3133, 2022-05-07T15:11:17.513589,
smbd, tcp, accept, 445, 62.74.213.178, 3156, 2022-05-07T15:11:18.185669,
